district,fmt,alert_num,source,time_posted,author_text,site,screen_name,profile_url,locations,geodata,rmap_match,content,link
hobbs_nm,old,254426221,twitter,"Sat, Feb 24, 2018 4:30 AM",Steven M Schnaubert,www.twitter.com,SchnaubertM,www.twitter.com/SchnaubertM,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"@GaetaSusan Those people are seriously mental , what in the hell did the nra have to
do with that idiot shooting th… https://t.co/0OLSaNqFIU",https://live.socialsentinel.com/v/pdf/-woAAA/2ne457
hobbs_nm,old,254463255,twitter,"Sat, Feb 24, 2018 8:11 AM",Chris Willis,www.twitter.com,WonkaWinsTwitch,www.twitter.com/WonkaWinsTwitch,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"Americans want the same government that stood outside a school during an active
shooter situation and ignored many… https://t.co/NY8OAL63uh",https://live.socialsentinel.com/v/pdf/-woAAA/2newpx
hobbs_nm,old,255002529,twitter,"Sun, Feb 25, 2018 11:40 PM",Lil Kev,www.twitter.com,kevintheshort1,www.twitter.com/kevintheshort1,Hobbs Hometown Match,"32.702610, -103.136040",Local+,lately i been feeling like i’m going to die soon,https://live.socialsentinel.com/v/pdf/DwsAAA/2nqgtr
hobbs_nm,old,255284322,twitter,"Mon, Feb 26, 2018 8:23 PM",Serenity Fuller,www.twitter.com,SerenityFuller2,www.twitter.com/SerenityFuller2,Hobbs Hometown Match,"32.702610, -103.136040",Local+,@lizhonigmann Ur gonna kill it bby,https://live.socialsentinel.com/v/pdf/EQsAAA/2nwi9c
hobbs_nm,old,256198592,twitter,"Thu, Mar 1, 2018 5:17 PM",Ron,www.twitter.com,Ron02069115,www.twitter.com/Ron02069115,Hobbs Hometown Match,"32.680275, -103.201767",Local+,"@CarleyShimkus @DICKS 99% of the population being directed by 1% , if they can go
to war .. they should be able to go to the gun store ..",https://live.socialsentinel.com/v/pdf/EQsAAA/2og3pq
hobbs_nm,old,256442134,twitter,"Fri, Mar 2, 2018 12:00 PM",KSBY,www.twitter.com,KSBY,www.twitter.com/KSBY,TAYLOR ELEMENTARY,"37.250221, -119.751259",Local+,"Police standoff prompts lockdown of Taylor Elementary School in #SantaMaria
https://t.co/z67zWoUMwp",https://live.socialsentinel.com/v/pdf/-woAAA/2olbms
hobbs_nm,old,258751839,twitter,"Fri, Mar 9, 2018 7:36 PM",Lord Leonard,www.twitter.com,Taylorl1219,www.twitter.com/Taylorl1219,Hobbs Hometown Match,"32.702610, -103.136040",Local+,Dukes gonna kill them,https://live.socialsentinel.com/v/pdf/-woAAA/2pytt9
hobbs_nm,old,260386547,twitter,"Wed, Mar 14, 2018 9:51 PM",Liz,www.twitter.com,lizbeth1132,www.twitter.com/lizbeth1132,Hobbs Hometown Match,"32.702610, -103.136040",Local+,yes i did go to the gym and yes i ate at Jaliscos right after lol ITS NOT GONNA KILL ME,https://live.socialsentinel.com/v/pdf/DwsAAA/2qxv5t
hobbs_nm,old,260943000,twitter,"Fri, Mar 16, 2018 2:39 PM",Shaquille Swain,www.twitter.com,beast94,www.twitter.com/beast94,Hobbs Hometown Match,"32.680275, -103.201767",Local+,"Hope l don't feel like l have to murder a nigga witness it but never act like u heard of a
nigga Grrrr..",https://live.socialsentinel.com/v/pdf/-woAAA/2r9siu
hobbs_nm,old,261147667,twitter,"Sat, Mar 17, 2018 6:38 AM",Steven M Schnaubert,www.twitter.com,SchnaubertM,www.twitter.com/SchnaubertM,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"@broomrider29979 @AlwaysActions @BarbMuenchen @steph93065 @ChristieC733
@KazmierskiR @DonnaWR8 @bfraser747 @VFL2013 @RodStryker @Veteran4Trump
@TruckerBobS Yea she would do us a favor, but don’t reattach it, that just makes me sick and
they probably won’t do anything to him ,",https://live.socialsentinel.com/v/pdf/-woAAA/2re6g1
